STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
3927;Pfullendorf;630;47.9344;9.2869;4.1;5.2;7.1;5.7;4.6;4.5;5.9;6.7;8.1;10.5;6.4;5.1;4.4;7.1;6;6.5;6.3;5.6;5.3;5.8;5.3;5.2;5.2;5.3;5;5;5.2;5.2;5.8;5.3;5.1
3925;Pforzheim-Ispringen;333;48.9318;8.6959;6.3;6.7;7.5;6.3;5.3;4.9;6.2;8;8.9;11.5;6.8;5.5;5.8;7.5;7.3;8.5;7.3;5.7;5.5;5.8;5.8;5.8;6.1;5.8;6.1;6.4;6.5;6.5;6.3;6;5.8
164;Angermünde;54;53.0316;13.9907;6.5;6.9;6.2;5.8;6.7;5.3;6;7;7.4;8.7;6;8;8.5;7.2;6.6;7.2;6.6;5.3;5.6;6.1;5.8;5.2;5.2;4.8;5.9;6.2;6.7;6.3;5.5;6;5.3
4024;Putbus;40;54.3643;13.477;6.9;7.5;6.9;5.8;6.8;5.5;6.5;7.5;7.5;8.4;6.4;8.5;9.4;7;7;7.2;6.2;5.5;5.8;6.2;6;5.2;5.3;5;6.4;6.8;6.6;6.8;5.8;6;6
5562;Neubulach-Oberhaugstett;570;48.6516;8.6801;5.8;5.9;7;5.6;5.1;4.9;5.8;7.4;8.3;10.8;5.9;5.1;5.2;7;6.8;7.8;6.5;5.2;5.4;5.6;5.3;5.2;5.4;5.1;5.2;5.6;5.6;5.8;5.8;5.3;5.1
15207;Schauenburg-Elgershausen;317;51.2835;9.359;6;6.2;6;6.4;5.5;5.4;6.1;7.1;7.7;9.8;;;7.8;6.5;7.4;7.5;6;5.2;5.3;5.2;4.3;5;4.7;5.1;6.2;6.2;6.4;6.3;5.6;5.5;5.2
167;Anklam;9;53.8412;13.6846;6.8;7.3;6.8;6.2;7.3;5.6;6.4;7.4;7.6;8.8;6.5;8.5;9.7;7.2;7.1;7.4;6.4;5.5;5.7;6.3;5.8;5.7;5.6;5.1;6.3;6.8;6.9;6.8;5.9;6;5.7
5825;Berge;40;52.6198;12.7867;6.8;7;6.2;6.4;7.1;6.6;6.8;7.4;7.8;9.4;6.2;8.2;8.5;7.4;7;7.6;6.5;5.3;5.4;6.1;5.6;5.4;5.4;5.3;6.2;6.9;6.7;6.8;5.6;6.2;5.9
3552;Neuruppin;38;52.9037;12.8072;6.7;7.1;6.4;6.2;7.2;6.6;6.7;7.5;7.7;9.1;6.2;8.4;8.9;7.2;7.1;7.5;6.3;5.5;5.5;6.2;5.5;5.2;5.4;5.3;6.2;6.9;6.5;6.8;5.8;6.2;5.6
3254;Meppen;19;52.7156;7.3176;5.8;;;;;6.3;7.1;8.2;8.6;9.5;6.5;8.6;9.7;6.7;8.3;6.7;5.9;6;6;5.4;4.6;4.7;4.6;5.7;6.6;7.4;7.1;7.3;5.8;5.9;
3257;Mergentheim, Bad-Neunkirchen;250;49.4773;9.7623;6.6;6.6;6.7;6.6;5.9;4.8;6.5;8.2;9.3;12.2;6.1;6.7;6.1;7.9;7.1;8.7;7.8;6.3;6.2;6;5.3;6.2;6.1;5.8;6.3;6.5;6.7;6.8;6.5;6.2;6
3857;Oy-Mittelberg-Petersthal;885;47.636;10.3891;3.4;6.1;7.3;5.3;3.6;3.7;4.6;5.6;7.1;9.8;6.2;4;3;5.8;5.1;5.6;6.1;5;3.5;4.7;4;4.6;4.9;5;4.4;4.2;5.3;4.8;5.5;4.6;4.5
1255;Eppingen-Elsenz;220;49.1664;8.8523;6.3;6.2;6.7;6.4;5.5;5;6.3;8;9.3;12;6.7;6.4;6.5;7.7;7.6;8.6;7.6;5.8;5.6;5.8;5.6;5.9;6.2;5.7;6.1;6.4;6.7;6.7;6.5;6.1;6
342;Belm;103;52.317;8.1693;6;7;6.5;6.5;6.3;6.3;7.3;8;8.5;9.9;6.4;8.4;9.4;6.8;8.1;6.9;6.1;5.7;5.1;5.3;4.5;5;4.8;5.6;6.5;7.3;7.1;7.1;5.8;5.9;6
817;Burgwald-Bottendorf;293;51.0306;8.8146;6.2;6.5;6.2;6;5.4;5.3;6;7.4;8.3;10.2;5.9;7.7;8.1;6.8;7.7;7.8;6.1;5.1;5.4;5.1;4.4;5.1;5;5.1;5.9;6.4;6.6;6.5;5.8;5.3;5.6
5229;Villingen-Schwenningen;720;48.0452;8.4608;4.3;5.4;7.1;5.8;4.7;4.7;5.8;7.2;8.1;10.3;6.1;4.5;5;6.9;6.3;7.1;6.3;5.2;5.3;5.7;5.3;5;5.2;5.1;4.9;5;5.4;5.3;5.7;5.1;4.8
