STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
3927;Pfullendorf;630;47.9344;9.2869;96.88;95;99.38;91.04;92.25;88.79;93.71;84.21;89.5;82.21;84.83;70.79;49.25;83.83;82.29;88.71;98.04;97.33;93.08;96.79;95.04;96.63;94.33;91.83;90.21;93.54;91.25;87.96;94.63;92.79;87.33
3925;Pforzheim-Ispringen;333;48.9318;8.6959;98.54;96.67;98.08;89.88;86.38;89.33;95.13;85.92;80.33;81.83;82.88;60.92;47.88;81.13;72;93.67;99.38;93.13;95.71;99.83;96.29;93.92;99.92;95.42;95.96;98.92;94.42;85.38;87.75;92.29;91.5
164;Angermünde;54;53.0316;13.9907;82.71;78.29;77.17;76.46;93.04;94.13;90.08;91.83;80.33;80.25;77.08;90;74.63;80.46;81.79;71.96;88.63;89.96;96.17;94.38;95;96.08;94.96;86.13;92.88;91.25;87.5;87.58;78.5;95;91.92
4024;Putbus;40;54.3643;13.477;85.88;82.13;85.63;76.33;92.67;90.08;92.13;94.5;82;84.83;80.5;91.96;94.58;87.79;89.04;76.04;82.92;87.63;94.46;94.17;98.38;98.83;93.58;87.29;95.96;98.29;89.29;93.58;85.67;96.42;96.08
5562;Neubulach-Oberhaugstett;570;48.6516;8.6801;99.5;92.33;96.25;87.33;90.83;87.13;89.13;85.63;84.25;84.21;82.46;65.42;52.75;86.46;86.46;93.96;95.75;94.17;95.54;98.29;94.67;95.5;96.79;91.25;89.92;95.83;87.88;90.96;91.92;92.54;90.83
15207;Schauenburg-Elgershausen;317;51.2835;9.359;97.46;82;86.08;87.08;85.67;90.63;94.54;91.83;80.13;78.58;;;77.96;84.04;82.33;86.29;85.83;88.92;90.71;91.46;86;87.25;87.58;93.04;93.5;96.75;92.46;91.25;88.75;94.46;91.38
167;Anklam;9;53.8412;13.6846;85.13;77.96;83.75;82.5;96.71;95.5;92.88;93.21;81.92;83.63;84.04;90.83;89.67;84.54;87.54;76.38;84.75;91.42;97.5;96.13;98.92;96.42;96.17;87.96;95.42;95.46;90.42;91.96;84.5;98;97.96
5825;Berge;40;52.6198;12.7867;87.17;76.21;74.46;82;89.58;94.33;90.17;90.54;80.83;80.88;78.96;88.33;70.38;80.42;80.33;74.13;84.13;88.13;92.92;95.13;95.79;93.21;91.21;86.29;96.46;93.75;87.21;87.63;78.5;96.42;95.38
3552;Neuruppin;38;52.9037;12.8072;87.83;80.58;79.71;79;92.46;95.58;92.79;94.04;82.54;81.5;81.17;93.13;80.29;83.29;84.67;78.71;86.75;89.79;93.63;95.75;94.63;93.04;89.63;87.83;96.92;95.92;85.75;90.75;83;97.25;94.21
3254;Meppen;19;52.7156;7.3176;77.54;;;;;80.46;86.42;90.83;80.46;76;72.92;81.63;89.04;82.75;81.21;74.5;82.54;87.96;94.75;92.92;89.67;85.63;91;90.58;93.17;92.83;89.38;88.75;84.96;93.67;
3257;Mergentheim, Bad-Neunkirchen;250;49.4773;9.7623;99.33;97.29;98.21;93.92;91.5;99.54;98.29;93.5;87.88;90.75;73.38;73.92;58.33;88.04;76.79;92.58;98.13;95.92;87.71;98.63;97.54;93.25;95.79;93.67;96.79;98.63;96.79;92.42;91.25;94.04;92.83
