STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
3927;Pfullendorf;630;47.9344;9.2869;25;22;16;8;7;6;6;5;0;0;0;0;0;0;0;0;0;4;2;4;6;6;5;0;4;0;9;8;6;16;15
3925;Pforzheim-Ispringen;333;48.9318;8.6959;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;4;6;0;0;0;0;7
164;Angermünde;54;53.0316;13.9907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8
4024;Putbus;40;54.3643;13.477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
5562;Neubulach-Oberhaugstett;570;48.6516;8.6801;18;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;3;6;5;9;9;5;10;11
15207;Schauenburg-Elgershausen;317;51.2835;9.359;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;10
167;Anklam;9;53.8412;13.6846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;13
5825;Berge;40;52.6198;12.7867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
3552;Neuruppin;38;52.9037;12.8072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3254;Meppen;19;52.7156;7.3176;;;;;0;0;0;0;0;;;0;0;0;0;0;;;1;1;0;0;0;;;0;0;0;0;5;
3257;Mergentheim, Bad-Neunkirchen;250;49.4773;9.7623;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;1;1
3857;Oy-Mittelberg-Petersthal;885;47.636;10.3891;69;52;34;17;16;15;15;14;10;0;3;11;9;6;5;4;15;33;30;28;26;24;22;20;26;26;29;38;53;59;58
1255;Eppingen-Elsenz;220;49.1664;8.8523;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4
342;Belm;103;52.317;8.1693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;9
817;Burgwald-Bottendorf;293;51.0306;8.8146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;4
5229;Villingen-Schwenningen;720;48.0452;8.4608;22;20;15;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;4;6;4;4;4;8;7;15;14;18;34;36
2856;Langenlipsdorf;91;51.9173;13.0878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1490;Friedrichshafen;394;47.6452;9.4795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4177;Rheinstetten;116;48.9726;8.3302;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
6157;Wangerland-Hooksiel;8;53.6409;8.081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
6158;Weidenbach-Weiherschneidbach;455;49.2247;10.6084;20;16;8;9;9;7;6;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;3;2;0;2;4
6159;Dörpen;8;52.9542;7.3196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;7;6
6093;Wendisch Evern;62;53.2138;10.4704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2319;Holzkirchen;685;47.8823;11.6962;37;33;18;10;10;10;9;7;4;0;0;2;0;0;0;0;0;9;6;4;3;3;3;4;9;13;15;29;27;29;29
5300;Waldems-Reinborn;380;50.2599;8.3602;0;0;0;7;5;4;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;3;4;0;0;4;2
2315;Holzdorf (Flugplatz);81;51.7657;13.1666;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;2
5856;Fürstenzell;476;48.5451;13.3531;8;5;1;11;7;5;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;7;5;11;8;8
298;Barth;3;54.3406;12.7108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
1666;Glücksburg-Meierwik;27;54.8273;9.5057;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;11;9
294;Barsinghausen-Hohenbostel;110;52.3198;9.4299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;Boizenburg;45;53.3911;10.6878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;Artern;164;51.3745;11.292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;2;0;0;0;0;0;1
596;Boltenhagen;15;54.0028;11.1908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4323;Ruppertsecken;461;49.6467;7.8835;5;3;0;5;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;1;4;5;9;6;2;1;1
191;Arnstein-Müdesheim;220;49.9695;9.9113;3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3679;Kiefersfelden-Gach;518;47.6185;12.1666;61;51;41;22;18;14;12;11;10;5;5;4;0;0;0;0;0;6;6;5;4;4;0;3;14;20;31;43;44;36;38
4651;Seesen;186;51.9044;10.1888;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;
2829;Landsberg (Flugplatz);621;48.0772;10.9144;25;25;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;4;4;4;4;8;8;13;13;12;13;16
4559;Schorndorf-Knöbling;399;49.1646;12.6176;10;8;5;11;8;8;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;3;5;6
2542;Kaufbeuren;716;47.8652;10.6007;40;32;23;3;1;0;0;0;0;0;2;2;1;0;0;0;1;8;7;4;3;3;3;2;8;7;13;20;24;29;32
3028;Lippspringe, Bad;157;51.7855;8.8388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;10
3023;Lingen;22;52.5181;7.3081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2985;Lichtenhain-Mittelndorf;321;50.9383;14.2093;8;;2;2;1;5;4;6;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;2;2;4;4;3;3;3
2385;Idar-Oberstein;376;49.6927;7.3264;6;5;3;5;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;7;3;0;1;2
2261;Hof;565;50.3122;11.8761;10;5;4;8;9;7;8;8;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;2;3;11;14;13;14;23;25
1103;Ebersberg-Halbing;592;48.1002;11.9872;18;17;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;0;0;0;1;3;10;15;15;15;17;20
1339;Faßberg;73;52.9157;10.1885;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
2444;Jena (Sternwarte);155;50.9251;11.583;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0
5009;Teterow;38;53.761;12.5574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
