STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
3927;Pfullendorf;630;47.9344;9.2869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3925;Pforzheim-Ispringen;333;48.9318;8.6959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;Angermünde;54;53.0316;13.9907;2.65;0.46;0.06;1.9;0;0;0.18;0;0;0;0.4;0;0.16;2.71;0;2.08;2;5.46;0;0;0;0;0.51;0;0;0;0.1;0.11;3.23;0;0.51
4024;Putbus;40;54.3643;13.477;0;1.01;0;5.05;0;4.95;1.03;0;0.66;0;1.83;0;0;0.83;0;3.58;5.73;3.06;0;0;0;0;0;0.2;3.75;0;0;0;1.15;0;0
5562;Neubulach-Oberhaugstett;570;48.6516;8.6801;0;0;0;2.96;7.66;6.45;1.95;0.06;0;1.76;1.2;1.31;7.38;0.21;0.03;0;0;1.5;0.36;0;0;0;0;0.38;0.28;0;2.03;0;0.56;3.08;2.05
15207;Schauenburg-Elgershausen;317;51.2835;9.359;0.5;0.75;0;1.83;5.1;2.23;0.2;0;0;0.33;0.5;0;3.95;0.23;0.08;0;1.61;0.15;0;0;2.6;0;0;0;0.13;0;1.6;0;0.21;0.15;0.5
167;Anklam;9;53.8412;13.6846;0;1.3;0;3.28;0;4.16;0.31;0;0.43;0;2.81;0;0;0.61;0;5.73;4.81;4.56;0;0;0;1.38;1.48;0;1.5;0;0;0;2.26;0;0
5825;Berge;40;52.6198;12.7867;5.73;0.96;0;3.01;0;0;0;0;0;0;0.11;0;1.5;3.26;0;2.71;1.13;7.35;1.93;0;0;0;0;2;0;0.18;0;1.63;2.83;0;1.51
3552;Neuruppin;38;52.9037;12.8072;5.31;0.41;0.5;3.68;0;0;0.01;0;0;0.01;0.18;0;0.63;2.75;0;4.03;2.08;5.8;4.15;0;0;0;0;1.26;0;0;0.1;1.78;1.68;0;1.41
3254;Meppen;19;52.7156;7.3176;1.6;;;4.5;0.9;0;4.6;0;0;0;0.4;0;0;0;0;3.7;6.4;0;0;2;0;0.4;0;0.8;0.1;0;;0;0.1;0;
3257;Mergentheim, Bad-Neunkirchen;250;49.4773;9.7623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3857;Oy-Mittelberg-Petersthal;885;47.636;10.3891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1255;Eppingen-Elsenz;220;49.1664;8.8523;0;0;0;0.3;7.53;6.05;0;0;0.15;0.6;1.18;0;7.33;0.61;0.21;0;0;0;1.66;0;0;0;0;0;0;0;1.11;0.08;1.08;2.11;0.16
342;Belm;103;52.317;8.1693;4.1;0.43;0;3.91;1.01;0;2.03;0;0;0;0.55;0;0;0.16;0;1.73;5;0;0.01;1.25;4.38;0;0.05;0;0;0;1.45;0.1;0.7;0.03;0.1
817;Burgwald-Bottendorf;293;51.0306;8.8146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5229;Villingen-Schwenningen;720;48.0452;8.4608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2856;Langenlipsdorf;91;51.9173;13.0878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1490;Friedrichshafen;394;47.6452;9.4795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4177;Rheinstetten;116;48.9726;8.3302;0;0;0;3.65;7.35;4.03;0;0.06;0;0.58;2.16;0;6.5;0.01;0.06;0;0;0;0.25;0;1.05;0;0;0;0;0;2.15;0.03;0.53;0.35;0.31
6157;Wangerland-Hooksiel;8;53.6409;8.081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6158;Weidenbach-Weiherschneidbach;455;49.2247;10.6084;0;0;0;0;6.5;5.2;0;0;0;1.13;1.26;0.01;8.05;0.38;0;0.48;0;5.4;2.56;0;0;0;0;0;0.48;0;0.1;0.55;2.33;0.2;0.05
6159;Dörpen;8;52.9542;7.3196;0.38;2.55;0.03;4.18;0;0;5.2;0;0;0;1.66;0;0;0.41;0;5.33;7.15;0;0;2.03;1.18;3.53;0;1.41;0.13;0;2.16;0;0.18;2.16;6.7
6093;Wendisch Evern;62;53.2138;10.4704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2319;Holzkirchen;685;47.8823;11.6962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5300;Waldems-Reinborn;380;50.2599;8.3602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2315;Holzdorf (Flugplatz);81;51.7657;13.1666;5.7;0;0;2.9;0;0;0;0;0;0.1;0.5;0;6.1;2.5;0;0;0;6.8;0;0;3;0;0;0;0;1;0;0.6;2.7;0;0.7
5856;Fürstenzell;476;48.5451;13.3531;0;0.11;0.31;0.01;0;3.05;0;0.08;0;1.1;0.3;0.31;7.85;0.05;0.5;3.18;0;0;0.4;0;0.68;1.36;0;0;0;0;0.06;1.03;2.3;0;2.41
298;Barth;3;54.3406;12.7108;0.01;1.91;0;3.6;0;0.61;2.58;0;1.01;0;1.21;0;0;1.08;0;3.15;5.73;2.06;2.23;0;3.1;1.31;3.03;2.63;5.21;0;0.03;0;0.1;0;0
1666;Glücksburg-Meierwik;27;54.8273;9.5057;0;1.5;0;5.3;0;0;2.6;0;0;0.2;0.4;0;0;1.4;0;0.6;3.6;0;0;0;0;5.6;0;1.1;1.3;0;3.7;0;;2;1.3
294;Barsinghausen-Hohenbostel;110;52.3198;9.4299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;Boizenburg;45;53.3911;10.6878;3.55;0.73;0.1;4.53;0;0;1.88;0;0;0;0;0;0;1.28;0;3.45;6.16;0;2.21;0;0;0;0;0.33;2.1;0;3.1;0;0.95;0;3.01
198;Artern;164;51.3745;11.292;5.96;0.2;0;0.81;0.66;4.53;1.66;0;0.23;0.95;1.63;0;5.93;1.73;0.58;0.06;2.25;5.46;0;0;4.23;0;0;1.53;1.3;0;2.5;0.35;2.31;0.31;0.23
596;Boltenhagen;15;54.0028;11.1908;0.93;0.65;0;4.53;0;0;3.73;0;0.15;0;0.38;0;0;1.58;0;4.25;6.31;0.1;1.65;0;1.76;0;0.03;0.65;6.1;0;5.98;0;0.2;0.03;4.45
4323;Ruppertsecken;461;49.6467;7.8835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Arnstein-Müdesheim;220;49.9695;9.9113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3679;Kiefersfelden-Gach;518;47.6185;12.1666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4651;Seesen;186;51.9044;10.1888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2829;Landsberg (Flugplatz);621;48.0772;10.9144;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
4559;Schorndorf-Knöbling;399;49.1646;12.6176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2542;Kaufbeuren;716;47.8652;10.6007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3028;Lippspringe, Bad;157;51.7855;8.8388;6.13;0.3;0;0;0.81;0.06;0.48;0;0;0;0.16;0;0.91;1.15;0;0.76;2.06;0.98;0;0;5.7;0;0;0;0;0;0.26;0.55;1.48;0;0
3023;Lingen;22;52.5181;7.3081;2.68;1.5;0;4.56;1.71;0.11;5;0;0;0;0.48;0;0;0;0;3.03;5.53;0;0;0.66;0.78;0;0;1.01;0.1;0;2.46;0;0.18;0.35;3.66
2985;Lichtenhain-Mittelndorf;321;50.9383;14.2093;4.31;0;0;0.06;0;0.11;0;0;0;0.5;0.05;0;7.71;1.35;0.11;1.2;0;6.51;0.4;0;0;0;0;0;0;1.8;0;1.7;3.38;0.55;0.16
2385;Idar-Oberstein;376;49.6927;7.3264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2261;Hof;565;50.3122;11.8761;1.06;0;0;0.01;4.01;5.08;0;0;0;0.68;0.68;0;7;0.73;0.16;0.63;0;1.98;0;0;2.71;0;0;0;0.01;0;0.13;0;0.61;0.28;0
1103;Ebersberg-Halbing;592;48.1002;11.9872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1339;Faßberg;73;52.9157;10.1885;;;;;0;;;0;;;;;;;1.3;;;1.3;;;0;;;;;;;0.1;;;
2444;Jena (Sternwarte);155;50.9251;11.583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5009;Teterow;38;53.761;12.5574;0.55;1.3;0.28;3.03;0;0;1.01;0;0.05;0;1.1;0;0;0.95;0;5.46;6.06;2;3.38;0;1.61;0;5.2;2.58;4.13;0;0.5;0;0.88;0;0.8
445;Bernburg/Saale (Nord);84;51.8218;11.7109;6.9;0.35;0;2.1;0.15;3.88;3.4;0.06;0.41;0.8;2.88;0;6.01;4.68;0.51;0;1.81;4.95;0;0;1.86;0;0;4.73;1.36;0;0.5;0.1;6.9;0.7;1.51
1332;Falkenberg,Kr.Rottal-Inn;472;48.4832;12.724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5779;Zinnwald-Georgenfeld;877;50.7314;13.7516;1.35;0;0;0;0;0;0;0;0;1.41;0.13;0;7.06;1.31;0;0.1;0;0.2;0;0;0.01;0;0;6.51;0;0.05;0;0.26;4.2;0;0.05
6346;Maisach-Galgen;530;48.2072;11.2034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5676;Wolfsburg (Südwest);82;52.3961;10.6898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Leuchtturm Alte Weser;32;53.8617;8.1266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;Harzgerode;404;51.652;11.1367;6.66;0;0;0.16;2.65;1.5;2.95;0;0;1.11;0.38;0;4.71;4;0;0;3.13;2.78;0;0;0;0;0;3.2;1.66;0;3.11;0;2.9;0.4;1.6
6272;Moorgrund Gräfen-Nitzendorf;283;50.8424;10.2516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6275;Notzingen;325;48.6707;9.4625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1266;Erfde;18;54.2989;9.3161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3093;Lüchow;17;52.9724;11.1374;5.85;1.1;0;3.96;0;0;1.35;0;0;0;0.36;0;0.06;2.68;0;2.48;5.88;0.61;1.86;0;0;0.03;1.58;2.98;0.01;0;2.91;0.03;0.9;0;1.08
642;Brake;1;53.3517;8.4969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3098;Lüdenscheid;387;51.2452;7.6425;6.46;1.58;0;0.85;3.11;1.63;0.81;0;0;0;0.01;0;1.66;0.3;0;0.56;4.15;2.58;0.2;0;5.15;0;0;0;0;0;0;0.01;0.05;0.06;1.76
433;Berlin-Tempelhof;48;52.4675;13.4021;4.83;0.36;0;1.68;0;0;0.3;0;0;0;0.15;0;3.46;2.28;0;0.7;0.73;5.95;0;0;0;0;0;0;0;0;0;0.28;2.95;0;1.05
430;Berlin-Tegel;36;52.5644;13.3088;4.75;0.15;0;2.01;0;0;0.1;0;0;0;0.03;0;2.26;2.03;0;0.68;0.86;5.73;0.26;0;0;0;0;0.03;0;0.18;0;0.43;3.58;0;0.43
330;Beerfelden;450;49.5617;8.9679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2618;Kleiner Inselsberg;732;50.8458;10.4803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4104;Regensburg;365;49.0424;12.1021;0;0;0;0.43;0.61;5.2;0;0;0;1.63;1.05;0;6.8;0.03;1.05;0.51;0;0;0.06;0;0.88;2.9;0;0;1.06;0.6;2.1;0.03;4;0.43;0.7
7341;Offenbach-Wetterpark;119;50.09;8.7862;0;0;0;1.03;7.31;0;1.78;0;0;1.43;3.21;0.16;4.95;1;0.68;0;1.2;5.21;0;0.25;1.26;0;0;0;0.03;0;0.26;0;0.4;0.23;1.58
5133;Twistetal-Mühlhausen;295;51.3343;8.9132;4.96;0.66;0;0.53;6.7;1.06;1.78;0;0;1.48;1.28;0;3.05;1.13;0.28;0;3.21;0.31;0;0;3.16;0;0;0;0.03;0;0.16;0;0.53;0.6;1.28
856;Chieming;551;47.8843;12.5404;3.26;3.35;1;0;0;2.65;0;0.35;0;4.6;0.33;0.48;7.56;0.18;1.4;2.71;0;0;7.46;0.01;1.76;0;0;0;0;3.15;0.01;5.46;1.15;0;5.55
850;Celle;39;52.5959;10.0296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853;Chemnitz;418;50.7913;12.872;4.51;0;0;0.11;0;3.75;0;0;0;1.38;0;0;7.65;1.25;0.2;0.73;0;7.3;0;0;2.4;0;0;0.1;0;1.51;0;0.35;3.58;0.95;0.06
3513;Neuhaus am Rennweg;845;50.5002;11.1344;0.16;0;0;0;5.45;3.08;0.28;0;0;0;0;0;5.06;0;0;0;0;0.21;0.25;0;0;0;0;0;0.75;0;1.45;0;0;0;0
5705;Würzburg;268;49.7703;9.9577;0;0;0;0.01;7.51;0;0;0;0;0.55;1.26;0;7.56;0.43;0;0;0;5.43;2.46;0;0.48;0;0;0;0.95;0;0.63;0;1.1;3.46;1.28
7412;Neuhütten/Spessart;340;50.0083;9.4239;0;0;0;0.05;6.81;0;0;0;0;0.01;0.23;0;6.36;0.75;0.6;0;0.03;5.26;3.75;0;0.7;0;0;0;0.31;0;0.03;0;0;0.4;0.48
7410;Neu-Ulrichstein;350;50.7519;9.0226;0;0;0;0.1;6.93;1.26;0;0;0;0.13;0.33;0;4.6;0.1;0.28;0;2.33;0.71;0;0;2.36;0;2.23;0;1.15;0;0.76;0;0.23;0.71;1.21
7419;Langenwetzendorf-Göttendorf;390;50.661;12.0757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2680;Königshofen, Bad;288;50.2841;10.4456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3897;Pelzerhaken;1;54.0893;10.8773;0.2;0.46;0;5.78;0;0;3.65;0;0.26;0;0.41;0;0;1.43;0;2.91;6.05;0;0;0;0.26;2.81;1.16;0;6.03;0;7.1;0;0.06;0;2
91;Alsfeld-Eifa;300;50.7446;9.345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4174;Rheine-Bentlage;40;52.2887;7.3866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4175;Rheinfelden;287;47.5627;7.7936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;Hameln;68;52.0848;9.3896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3204;Martinroda;427;50.7334;10.8815;4.35;0.01;0;0.4;5.21;4.85;0.91;0.06;0.46;2.78;0.63;0;6.15;0.6;0.28;0;0.28;3.88;0.01;0;0;0;0;6.1;0.58;0;1.53;0;0.3;0.33;0.2
5797;Lichtentanne;353;50.688;12.4328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5792;Zugspitze;2964;47.4209;10.9847;8.38;2.83;1.21;0;2.9;7.71;6.98;0.56;0;6.7;0.11;1.73;8.36;0.05;1.95;2.95;0;8.65;7.88;2.28;5.43;6.1;0;5.21;0.1;8.18;0;6.61;0.3;0;6.75
3639;Nordholz (Flugplatz);25;53.7647;8.6583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;Bochum;101;51.4789;7.2697;5.88;2.43;0;4.18;3.86;0.9;2.53;0;0;0;0.08;0;0.33;0.26;0;0.31;4.51;0.78;0.01;0;5.46;0;0;0;0;0;0.01;0.06;1.03;0.68;1.11
3631;Norderney;11;53.7123;7.1519;0;2.76;0;3.61;0;0;4.08;0;0;0.51;2.65;0;0;0.48;0;2.05;6.66;0;0;0.21;2.51;5.58;0.6;3.13;1.58;0.03;4.33;0;1.46;5.85;0.01
2947;Lennestadt-Theten;286;51.1334;8.0352;5.31;0.81;0;0;3.83;1.38;0.05;0;0;0.01;0;0;2.23;0.36;0.06;0;3.1;4.23;0.56;0;3.81;0;3.38;0;0;0;0;0.01;0.4;0.96;1.46
232;Augsburg;461;48.4254;10.942;0;1.18;0;0.01;5.33;6.18;0;0.01;0;4.83;1.75;0;7.93;0.16;0.31;0.35;0;0.03;3.88;0;0;0;0;0;0.01;1.36;0.53;0.6;3.68;0.2;6.4
1050;Dresden-Hosterwitz;114;51.0221;13.847;4.13;0;0;0.58;0;3.78;0;0;0.03;2.33;1.48;0;7.3;3.63;0.01;0.58;0;7.13;0;0;0;0;0;0;0;1.61;0;3.11;4.8;0.01;0.06
1051;Dresden-Strehlen;119;51.024;13.7737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3348;Moringen-Lutterbeck;240;51.7209;9.8352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6109;Grambow-Schwennenz;50;53.3837;14.3728;0.5;0.91;0.1;3.16;0;5.01;0.18;0;0;0;1.31;0;0;2.6;0;2.91;2.48;5.65;0;0;0;0.05;0;0;0;0;0;0.01;1.66;0;0.23
7075;Elsendorf-Horneck;425;48.7021;11.8494;0;0.81;0.06;0;1.03;5.78;0;0.03;0.03;2.71;1.33;0.01;7.83;0;0.38;1.36;0;1.18;1.26;0;1.1;0;0;0;0.51;2.08;0.25;0.93;5.41;0.45;3.68
3340;Montabaur;265;50.4383;7.8061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2349;Hornisgrinde;1119;48.6136;8.2034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1197;Ellwangen-Rindelbach;460;48.9895;10.1312;0;0.01;0;0.28;7.16;5.76;0;0;0;1.65;0.51;0.71;7.63;0.75;0;0.53;0;3.51;4.8;0;0;0;0;0;0;0.08;0.01;0.95;2.2;0.43;1.41
1694;Goldberg;58;53.606;12.1033;1.45;0.65;0;2.88;0;0;1.01;0;0;0;1.23;0;0;1.21;0;5.56;6.16;1.18;2.95;0;0;0;0.66;2.28;3.23;0;2.95;0;0.18;0;4.2
1759;Greifswalder Oie;12;54.2437;13.9102;0;1.1;0;4.88;0;5.08;1.63;0;0.68;0;3.33;0;0;1.5;0;4.93;5.33;3.53;0.26;0;0;0;2.76;0;0.66;0;0;0;2.58;0;0
1691;Göttingen;167;51.5003;9.9506;5.41;0.01;0;0.4;0.25;1;0.5;0;0;0.78;0.46;0;5.1;3.1;0;0;1.08;5.25;0;0;0.58;0;0;0.03;0;0;1.31;0;1.61;0;0.61
